пригорок_NOUN,hillock
каталог_NOUN,catalog
бодрый_ADJ,cheerful
декоративный_ADJ,decorative
свидетельство_NOUN,certificate
принадлежать_VERB,belong
интернациональный_ADJ,international
парик_NOUN,wig
нешто_PART,nothing
сложность_NOUN,complexity
руководимый_ADJ,guided
отвлекать_VERB,Divert
барак_NOUN,barrack
безработица_NOUN,unemployment
пятьдесят_NUM,fifty
тьфу_INTJ,Ugh
неуместный_ADJ,irrelevant
перс_NOUN,Persian
расти_VERB,grow
питерский_ADJ,Petersburg
благоговение_NOUN,awe
георгиевский_ADJ,george
ми_NOUN,mi
назначать_VERB,assign
танцевальный_ADJ,dance
разлив_NOUN,spill
внешне_ADV,externally
эксплуатировать_VERB,exploit
уклоняться_VERB,dodge
находиться_VERB,be
рыночный_ADJ,market
дачный_ADJ,dacha
пробный_ADJ,trial
плюнуть_VERB,spit
хлебников_NOUN,Khlebnikov
налет_NOUN,plaque
раскалываться_VERB,split
сияние_NOUN,shine
беспокоить_VERB,bother
саратовский_ADJ,Saratov
шаг_NOUN,step
роберт_NOUN,Robert
ульянов_NOUN,Ulyanov
дивизия_NOUN,division
свистеть_VERB,whistle
владеть_VERB,own
фига_NOUN,fig
подвигаться_VERB,move
лихорадочный_ADJ,feverish
завоеватель_NOUN,conqueror
крайность_NOUN,extreme
визирь_NOUN,vizier
отрывок_NOUN,excerpt
зверек_NOUN,beast
практический_ADJ,practical
войско_NOUN,army
совместно_ADV,jointly
пролетать_VERB,fly
контора_NOUN,office
нора_NOUN,Nora
поверх_ADP,over
засовывать_VERB,shove
прах_NOUN,dust
смиряться_VERB,humble
ликовать_VERB,rejoice
вечеринка_NOUN,party
совокупный_ADJ,total
населять_VERB,inhabit
альпинист_NOUN,climber
изгибаться_VERB,bend
лыжа_NOUN,ski
изящество_NOUN,grace
восхищение_NOUN,Delight
австралия_NOUN,Australia
чемпион_NOUN,champion
несколько_ADV,several
невидимый_ADJ,invisible
шест_NOUN,pole
профессия_NOUN,profession
продолговатый_ADJ,oblong
венок_NOUN,wreath
декоративный_ADJ,decorative
запор_NOUN,constipation
кормилец_NOUN,breadwinner
тамара_NOUN,tamara
балканский_ADJ,Balkan
гневно_ADV,angrily
кивок_NOUN,nod
совместный_ADJ,joint
кустик_NOUN,bush
бунт_NOUN,riot
довод_NOUN,argument
картон_NOUN,cardboard
пожитки_NOUN,belongings
невеста_NOUN,bride
комсомол_NOUN,Komsomol
сближение_NOUN,convergence
промысл_NOUN,fishing
грива_NOUN,mane
естественно_ADV,naturally
крона_NOUN,crown
девица_NOUN,damsel
прохожий_NOUN,passerby
приседать_VERB,squat
воспитание_NOUN,upbringing
порастать_VERB,overgrow
стонать_VERB,moan
неподходящий_ADJ,unsuitable
проворный_ADJ,prompt
областной_ADJ,regional
договариваться_VERB,agree
перс_NOUN,Persian
мещанин_NOUN,tradesman
девятнадцатый_ADJ,nineteenth
образованность_NOUN,education
доказывать_VERB,prove
карточка_NOUN,card
кристалл_NOUN,crystal
силуэт_NOUN,silhouette
прерываться_VERB,interrupt
томительный_ADJ,weary
протестант_NOUN,Protestant
оон_NOUN,UN
сборник_NOUN,collection
рукописный_ADJ,handwritten
ведущий_NOUN,leading
вакуум_NOUN,vacuum
бесшумно_ADV,silently
преступник_NOUN,criminal
завоеватель_NOUN,conqueror
спад_NOUN,recession
кумир_NOUN,idol
повод_NOUN,occasion
бокс_NOUN,boxing
восклицать_VERB,exclaim
привязывать_VERB,tie
подготовка_NOUN,preparation
древность_NOUN,antiquity
ровно_ADV,smooth
произвольный_ADJ,arbitrary
барак_NOUN,barrack
утка_NOUN,duck
пожалеть_VERB,regret
ровесник_NOUN,peer
экстремальный_ADJ,extreme
тишина_NOUN,silence
осложнение_NOUN,complication
гениальный_ADJ,ingenious
обнаженный_ADJ,naked
гений_NOUN,genius
капитализм_NOUN,capitalism
противоречить_VERB,contradict
львов_NOUN,Lviv
исполнение_NOUN,execution
неожиданно_ADV,suddenly
удобный_ADJ,comfortable
поэтому_ADV,therefore
командующий_ADJ,commanding
вздох_NOUN,sigh
ус_NOUN,mustache
манипуляция_NOUN,manipulation
писаться_VERB,write
презентация_NOUN,presentation
нарушитель_NOUN,intruder
снижать_VERB,reduce
дюйм_NOUN,inch
плясать_VERB,dance
сук_NOUN,bitches
терроризм_NOUN,terrorism
прибытие_NOUN,arrival
припоминать_VERB,remember
афганистан_NOUN,Afghanistan
грязно_ADV,dirty
благосклонный_ADJ,benevolent
предназначаться_VERB,target
маневр_NOUN,maneuver
освобождение_NOUN,liberation
презентация_NOUN,presentation
наивно_ADV,naively
посметь_VERB,dare
категорически_ADV,categorically
всегдашний_ADJ,everlasting
дуть_VERB,blow
толкование_NOUN,interpretation
реестр_NOUN,registry
синоним_NOUN,synonym
прописка_NOUN,registration
симптом_NOUN,symptom
видимо_ADV,apparently
свертывать_VERB,roll
доброта_NOUN,kindness
тяга_NOUN,thrust
заиграть_VERB,play
миролюбивый_ADJ,peaceful
молитва_NOUN,prayer
удушливый_ADJ,suffocating
электромагнитный_ADJ,electromagnetic
исследовательский_ADJ,research
надежность_NOUN,reliability
блистать_VERB,shine
площадка_NOUN,area
запись_NOUN,recording
даровать_VERB,grant
передовой_ADJ,advanced
отправка_NOUN,dispatch
клубный_ADJ,club
будничный_ADJ,everyday
карета_NOUN,coach
выговаривать_VERB,pronounce
утвердительно_ADV,affirmatively
фланг_NOUN,wing
рельеф_NOUN,relief
привлекательный_ADJ,attractive
неопределенно_ADV,indefinitely
взрываться_VERB,explode
кротко_ADV,meekly
квартирный_ADJ,apartment
вычислительный_ADJ,computational
резина_NOUN,rubber
внешне_ADV,externally
представать_VERB,present
плоть_NOUN,flesh
нормальный_ADJ,normal
реалист_NOUN,realist
блистать_VERB,shine
отливать_VERB,cast
моральный_ADJ,moral
разбиваться_VERB,crash
золотистый_ADJ,golden
упор_NOUN,emphasis
противоречивый_ADJ,contradictory
руб_NOUN,rub
седок_NOUN,rider
гпу_NOUN,gpu
помощь_NOUN,help
ох_INTJ,Oh
оный_DET,this
мейерхольд_NOUN,Meyerhold
расслабляться_VERB,relax
утренний_ADJ,morning
деготь_NOUN,tar
вражеский_ADJ,hostile
безграмотный_ADJ,illiterate
разводить_VERB,breed
духи_NOUN,perfume
курение_NOUN,smoking
мещанский_ADJ,philistine
вроде_PART,like
плод_NOUN,fetus
желать_VERB,want
косвенный_ADJ,indirect
холодильник_NOUN,fridge
жидкость_NOUN,liquid
желать_VERB,want
нехотя_ADV,reluctantly
аристотель_NOUN,Aristotle
прусский_ADJ,Prussian
волынский_NOUN,Volyn
сладко_ADV,sweetly
скандальный_ADJ,scandalous
раскрывать_VERB,disclose
особняк_NOUN,mansion
искомый_ADJ,sought
свыше_ADP,over
предательство_NOUN,betrayal
значительно_ADV,much
опухоль_NOUN,tumor
ранение_NOUN,wound
обслуживать_VERB,service
вязкий_ADJ,viscous
разрезать_VERB,cut
длительность_NOUN,duration
чайник_NOUN,kettle
громов_NOUN,thunders
амбиция_NOUN,ambition
испорченный_ADJ,spoiled
фашистский_ADJ,fascist
запор_NOUN,constipation
брат_NOUN,brother
обносить_VERB,carry
дрожь_NOUN,shiver
важный_ADJ,important
посланец_NOUN,messenger
бедро_NOUN,hip
список_NOUN,list
праздничный_ADJ,festive
путешествовать_VERB,travel
учить_VERB,learn
напускать_VERB,let
рать_NOUN,host
обрезать_VERB,prune
верблюд_NOUN,camel
японский_ADJ,Japanese
конструктивный_ADJ,constructive
глас_NOUN,voice
благоговение_NOUN,awe
пронестись_VERB,zip
топка_NOUN,firebox
пролив_NOUN,strait
хитрость_NOUN,cunning
зрелище_NOUN,spectacle
сцепление_NOUN,clutch
червонец_NOUN,ducat
ожерелие_NOUN,necklace
отпор_NOUN,rebuff
апрельский_ADJ,April
починка_NOUN,mending
отказ_NOUN,refusal
мануфактура_NOUN,manufactory
неправдоподобный_ADJ,improbable
понюхать_VERB,smell
сворачивать_VERB,fold
счастие_NOUN,happiness
рыбка_NOUN,fish
чиновничий_ADJ,bureaucratic
чуковский_NOUN,Chukovsky
соблюдение_NOUN,observance
нужный_ADJ,needed
предавать_VERB,betray
здравствовать_VERB,hello
хвостик_NOUN,tail
обширный_ADJ,extensive
заявляться_VERB,declare
набросок_NOUN,sketch
оборонять_VERB,defend
мерзнуть_VERB,freeze
обязывать_VERB,oblige
являть_VERB,show
обижать_VERB,offend
делец_NOUN,hustler
замечательный_ADJ,wonderful
критиковать_VERB,criticize
меч_NOUN,sword
могущественный_ADJ,powerful
фойе_NOUN,foyer
сталь_NOUN,steel
прямо-таки_ADV,downright
ритуал_NOUN,ritual
уместный_ADJ,relevant
безжалостный_ADJ,ruthless
дурно_ADV,bad
ориентация_NOUN,orientation
превращение_NOUN,transformation
вал_NOUN,shaft
район_NOUN,district
ожесточение_NOUN,bitterness
ласковый_ADJ,affectionate
поблизости_ADV,nearby
преступный_ADJ,criminal
рукописный_ADJ,handwritten
право_NOUN,right
притаиться_VERB,lurk
частота_NOUN,frequency
качество_NOUN,quality
по-разному_ADV,differently
подножка_NOUN,step
расплавлять_VERB,melt
безотчетный_ADJ,unaccountable
ржавый_ADJ,rusty
поди_INTJ,go
страна_NOUN,country
представительство_NOUN,representation
непостижимый_ADJ,incomprehensible
копа_NOUN,cop
подействовать_VERB,act
уборка_NOUN,cleaning
мужской_ADJ,male
держава_NOUN,power
перечень_NOUN,scroll
пригодный_ADJ,fit
расписывать_VERB,paint
университет_NOUN,university
подрядчик_NOUN,contractor
осина_NOUN,aspen
святыня_NOUN,shrine
слесарь_NOUN,locksmith
вверх_ADV,up
противоположный_ADJ,opposite
установление_NOUN,establishment
жизненный_ADJ,vital
борьба_NOUN,wrestling
сделаться_VERB,become
фантастика_NOUN,fantastic
вселенная_NOUN,Universe
совмещать_VERB,combine
прикреплять_VERB,attach
симптом_NOUN,symptom
голландия_NOUN,Holland
почерк_NOUN,handwriting
живость_NOUN,liveliness
беззаконие_NOUN,iniquity
карниз_NOUN,cornice
втрое_ADV,threefold
усеивать_VERB,dot
захотеться_VERB,want
весьма_ADV,very
жизненный_ADJ,vital
ослепительный_ADJ,dazzling
ровесник_NOUN,peer
дерзость_NOUN,audacity
развиваться_VERB,develop
определенный_ADJ,definite
присуждать_VERB,award
вероятный_ADJ,likely
вдохновение_NOUN,inspiration
здоровый_ADJ,healthy
менеджер_NOUN,manager
ссылка_NOUN,link
поссориться_VERB,quarrel
индикатор_NOUN,indicator
офицерский_ADJ,officer
заслуженный_ADJ,deserved
чемодан_NOUN,suitcase
скучный_ADJ,boring
макар_NOUN,makar
поразительно_ADV,astonishingly
терапия_NOUN,therapy
воспроизводить_VERB,reproduce
наган_NOUN,revolver
аббат_NOUN,abbot
навещать_VERB,visit
сословие_NOUN,estate
припоминать_VERB,remember
растительность_NOUN,vegetation
благополучие_NOUN,wellbeing
помещаться_VERB,place
посылать_VERB,send
преемник_NOUN,successor
ясный_ADJ,clear
капитан_NOUN,captain
лихо_ADV,famously
серийный_ADJ,serial
доверяться_VERB,trust
коэффициент_NOUN,coefficient
высовывать_VERB,protrude
раскалываться_VERB,split
трибуна_NOUN,tribune
перегрузка_NOUN,overload
руссо_NOUN,Rousseau
волокно_NOUN,fiber
крым_NOUN,Crimea
темный_ADJ,dark
падать_VERB,fall
еда_NOUN,food
сэкономить_VERB,save
патруль_NOUN,patrol
молот_NOUN,hammer
катер_NOUN,boat
роща_NOUN,grove
усатый_ADJ,whiskered
проч_NOUN,etc
шизофрения_NOUN,schizophrenia
сковорода_NOUN,pan
аварийный_ADJ,emergency
смешанный_ADJ,mixed
миллионер_NOUN,millionaire
спица_NOUN,spoke
тамошний_ADJ,there
личностный_ADJ,personal
револьвер_NOUN,revolver
уверенность_NOUN,confidence
классификация_NOUN,classification
критический_ADJ,critical
исцеление_NOUN,healing
выпрямляться_VERB,straighten
холл_NOUN,hall
фундаментальный_ADJ,fundamental
условие_NOUN,condition
линия_NOUN,line
неведомый_ADJ,unknown
личинка_NOUN,larva
сожалеть_VERB,regret
принцип_NOUN,principle
виктор_NOUN,Victor
добавка_NOUN,additive
точно_CCONJ,exactly
мгновенный_ADJ,instantaneous
двинуть_VERB,move
ящик_NOUN,box
итак_CCONJ,so
профессионально_ADV,professionally
жердь_NOUN,pole
истерический_ADJ,hysterical
лопух_NOUN,burdock
гг_NOUN,yy
кануть_VERB,sink
давность_NOUN,prescription
запахнуть_VERB,smell
сп_NOUN,cn
энтузиаст_NOUN,enthusiast
тарантас_NOUN,carriage
ссуда_NOUN,loan
кассета_NOUN,cassette
напор_NOUN,pressure
законный_ADJ,law
прошедшее_NOUN,past
пот_NOUN,sweat
заведение_NOUN,institution
тепло_ADV,warmly
альманах_NOUN,almanac
порядочно_ADV,decently
снижение_NOUN,decline
призрак_NOUN,ghost
уберегать_VERB,preserve
тим_NOUN,Tim
сразу_ADV,straightaway
первенство_NOUN,championship
причем_CCONJ,moreover
разногласие_NOUN,disagreement
глаз_NOUN,eye
корреспонденция_NOUN,correspondence
обмундирование_NOUN,outfit
деликатность_NOUN,delicacy
гелий_NOUN,helium
эффективность_NOUN,efficiency
хлам_NOUN,trash
порадовать_VERB,please
связка_NOUN,bunch
постоянный_ADJ,constant
утренний_ADJ,morning
завершение_NOUN,completion
несчастие_NOUN,misfortune
леди_NOUN,lady
маркетинг_NOUN,marketing
тысячелетие_NOUN,millennium
свинья_NOUN,pig
лысый_ADJ,bold
неустойчивый_ADJ,unstable
плоский_ADJ,flat
туризм_NOUN,tourism
объектив_NOUN,lens
ритуальный_ADJ,ritual
египетский_ADJ,Egyptian
тоскливый_ADJ,dreary
приветственный_ADJ,welcome
кружок_NOUN,circle
бор_NOUN,boron
свинцовый_ADJ,lead
лошадь_NOUN,horse
заметно_ADV,noticeably
толстой_NOUN,thick
ла_NOUN,la
парадокс_NOUN,paradox
взрослый_NOUN,adult
амур_NOUN,Amur
легко_ADV,easily
кинуться_VERB,rush
троицкий_NOUN,Troitsky
вещий_ADJ,prophetic
село_NOUN,village
мерный_ADJ,measured
взламывать_VERB,hack
положительно_ADV,positively
петербургский_NOUN,Petersburg
метать_VERB,throw
ремешок_NOUN,strap
значительно_ADV,much
красить_VERB,paint
однозначно_ADV,unequivocally
имущество_NOUN,property
регистрировать_VERB,register
ма_NOUN,ma
пролет_NOUN,span
неприязнь_NOUN,dislike
жук_NOUN,bug
рукоятка_NOUN,lever
глагол_NOUN,verb
платный_ADJ,paid
премудрость_NOUN,wisdom
звякнуть_VERB,jingle
равнодушие_NOUN,indifference
ра_NOUN,ra
германия_NOUN,Germany
замужем_ADV,married
поклонение_NOUN,worship
непредсказуемый_ADJ,unpredictable
научный_ADJ,scientific
вещь_NOUN,thing
ссуда_NOUN,loan
вторичный_ADJ,secondary
военнослужащий_NOUN,serviceman
губернатор_NOUN,governor
указание_NOUN,indication
искание_NOUN,seeking
пустынный_ADJ,deserted
откровение_NOUN,revelation
видимость_NOUN,visibility
выступление_NOUN,performance
купе_NOUN,compartment
губка_NOUN,sponge
вторжение_NOUN,invasion
затылок_NOUN,occiput
пальма_NOUN,palm
следствие_NOUN,consequence
кухонный_ADJ,kitchen
детский_ADJ,child
прокладывать_VERB,lay
вдох_NOUN,inhale
ведомость_NOUN,bill
амурский_ADJ,amur
память_NOUN,memory
раздражать_VERB,annoy
данилович_NOUN,Danilovich
биографический_ADJ,biographical
групповой_ADJ,group
эвакуировать_VERB,evacuate
величина_NOUN,magnitude
сплошной_ADJ,solid
ломоть_NOUN,hunk
конгресс_NOUN,congress
поддаваться_VERB,succumb
небытие_NOUN,nothingness
трава_NOUN,grass
большинство_NOUN,majority
рекомендация_NOUN,recommendation
интервью_NOUN,interview
просто-напросто_ADV,just
окраина_NOUN,outskirts
боеприпасы_NOUN,ammunition
дочка_NOUN,daughter
сгибать_VERB,bend
своеобразие_NOUN,uniqueness
подбивать_VERB,knock
миллиметр_NOUN,millimeter
конституция_NOUN,constitution
почувствовать_VERB,feel
домино_NOUN,dominoes
вступительный_ADJ,opening
атмосферный_ADJ,atmospheric
возвышенность_NOUN,elevation
логика_NOUN,logics
металл_NOUN,metal
общность_NOUN,community
свертывать_VERB,roll
чрез_ADP,through
расслаблять_VERB,relax
полость_NOUN,cavity
эффективность_NOUN,efficiency
объективный_ADJ,objective
некрасивый_ADJ,ugly
видеть_VERB,see
фыркнуть_VERB,snort
стройный_ADJ,slim
перемена_NOUN,turn
обитатель_NOUN,dweller
профессорский_ADJ,professorial
экономия_NOUN,saving
безвозвратно_ADV,irrevocably
неопределенно_ADV,indefinitely
почитаться_VERB,venerated
славка_NOUN,warbler
испортить_VERB,spoil
замышлять_VERB,plot
лиловый_ADJ,purple
очерчивать_VERB,outline
шекспир_NOUN,Shakespeare
менеджмент_NOUN,management
память_NOUN,memory
республиканский_ADJ,republican
пристраивать_VERB,attach
выносить_VERB,endure
грозить_VERB,threaten
конюх_NOUN,groom
уединенный_ADJ,secluded
осуществлять_VERB,realize
система_NOUN,system
рассказываться_VERB,tell
молва_NOUN,rumor
подполье_NOUN,underground
лагерный_ADJ,camp
vii_NOUN,vii
запись_NOUN,recording
злоумышленник_NOUN,intruder
обращаться_VERB,address
донской_ADJ,Don
убийца_NOUN,murderer
сопротивляться_VERB,resist
фотограф_NOUN,photographer
софи_NOUN,Sophie
оттепель_NOUN,thaw
обождать_VERB,wait
каникулы_NOUN,holiday
услышать_VERB,hear
худо_ADV,badly
ладоши_NOUN,hands
федеральный_ADJ,federal
подсовывать_VERB,slip
пространственный_ADJ,spatial
германский_ADJ,German
вверх_ADV,up
электронный_ADJ,electronic
произвол_NOUN,arbitrariness
брызнуть_VERB,splatter
заведомо_ADV,knowingly
ибо_CCONJ,for
риск_NOUN,risk
впускать_VERB,admit
ленька_NOUN,lazy
знакомить_VERB,meet
действительность_NOUN,reality
сламывать_VERB,break
бугор_NOUN,bump
поэзия_NOUN,poetry
импорт_NOUN,import
совмещать_VERB,combine
основной_ADJ,basic
качаться_VERB,sway
думать_VERB,think
подлец_NOUN,scoundrel
кп_NOUN,kp
переплетать_VERB,weave
братский_ADJ,brotherly
вещать_VERB,broadcast
сопротивление_NOUN,resistance
деятельность_NOUN,activity
овладевать_VERB,master
колея_NOUN,track
наставник_NOUN,mentor
гонка_NOUN,race
скрип_NOUN,creak
довод_NOUN,argument
загар_NOUN,Tan
наполняться_VERB,fill
омут_NOUN,whirlpool
гнаться_VERB,chase
степка_NOUN,step
стереотип_NOUN,stereotype
пробный_ADJ,trial
луиза_NOUN,Louise
лопнуть_VERB,burst
обман_NOUN,deception
размножение_NOUN,reproduction
издатель_NOUN,publisher
одиноко_ADV,alone
алгоритм_NOUN,algorithm
клубный_ADJ,club
бессмыслица_NOUN,nonsense
дирижер_NOUN,conductor
атмосферный_ADJ,atmospheric
восставать_VERB,rebel
акт_NOUN,Act
шнур_NOUN,cord
воровать_VERB,steal
злоупотребление_NOUN,abuse
фирма_NOUN,firm
абстрактный_ADJ,abstract
больница_NOUN,hospital
страховка_NOUN,insurance
флигель_NOUN,wing
колбаса_NOUN,sausage
толкнуть_VERB,push
комплекс_NOUN,complex
умышленно_ADV,deliberately
рыдать_VERB,weep
владение_NOUN,possession
борьба_NOUN,wrestling
развертывание_NOUN,deployment
конюх_NOUN,groom
заповедь_NOUN,commandment
переписывать_VERB,rewrite
заказчик_NOUN,customer
немец_NOUN,German
накрывать_VERB,cover
неловкость_NOUN,awkwardness
хищник_NOUN,predator
флакон_NOUN,bottle
федотов_NOUN,Fedotov
паломник_NOUN,pilgrim
координация_NOUN,coordination
удав_NOUN,boa
лихорадочный_ADJ,feverish
преображенский_ADJ,transfiguration
шофер_NOUN,chauffeur
борозда_NOUN,furrow
виктор_NOUN,Victor
динамика_NOUN,dynamics
тема_NOUN,theme
славный_ADJ,glorious
собственный_ADJ,own
звериный_ADJ,animal
буш_NOUN,bush
качели_NOUN,swing
молочный_ADJ,lactic
бить_VERB,beat
сотрудничать_VERB,cooperate
сигара_NOUN,cigar
морозов_NOUN,frost
вайс_NOUN,weiss
заиграть_VERB,play
разумение_NOUN,understanding
стихийный_ADJ,spontaneous
формулировать_VERB,formulate
пришелец_NOUN,alien
неприличный_ADJ,indecent
пруссия_NOUN,Prussia
первичный_ADJ,primary
вещь_NOUN,thing
просто_PART,simply
антонович_NOUN,Antonovich
надзиратель_NOUN,overseer
лиловый_ADJ,purple
бедность_NOUN,poverty
жестокий_ADJ,cruel
государство_NOUN,state
выдавливать_VERB,squeeze
внешность_NOUN,appearance
зеркальный_ADJ,mirrored
передвигаться_VERB,move
ограждать_VERB,protect
рассуждение_NOUN,reasoning
кто-то_PRON,somebody
ответ_NOUN,answer
село_NOUN,village
утопия_NOUN,Utopia
слышно_ADV,audible
недоумевать_VERB,bewildered
лихорадочно_ADV,feverishly
умышленно_ADV,deliberately
игнатий_NOUN,Ignatius
объединять_VERB,unite
сухарь_NOUN,biscuit
клапан_NOUN,valve
карманный_ADJ,pocket
интересно_ADV,interesting
россия_NOUN,Russia
папин_ADJ,daddy
пляска_NOUN,dance
идея_NOUN,idea
босиком_ADV,barefoot
карабин_NOUN,carbine
зарывать_VERB,bury
белесый_ADJ,whitish
бунтовщик_NOUN,rebel
усыпать_VERB,strew
скамья_NOUN,bench
умно_ADV,cleverly
француженка_NOUN,Frenchwoman
оснащать_VERB,equip
мтс_NOUN,mts
калека_NOUN,cripple
косматый_ADJ,shaggy
рекорд_NOUN,record
ночлег_NOUN,lodging
пошевелить_VERB,wiggle
выигрывать_VERB,win
инструктор_NOUN,Instructor
достоверность_NOUN,credibility
знакомый_ADJ,familiar
тополь_NOUN,poplar
демонстрация_NOUN,demonstration
замок_NOUN,lock
неотложный_ADJ,urgent
бетонный_ADJ,concrete
скважина_NOUN,well
изотоп_NOUN,isotope
смелый_ADJ,brave
скандальный_ADJ,scandalous
гостья_NOUN,guest
смятение_NOUN,confusion
вентилятор_NOUN,fan
килограмм_NOUN,kilogram
вычислительный_ADJ,computational
учить_VERB,learn
доводить_VERB,bring
стенд_NOUN,stand
горох_NOUN,peas
палуба_NOUN,deck
несовместимый_ADJ,incompatible
диалектика_NOUN,dialectics
жидкий_ADJ,liquid
переживание_NOUN,experience
исключительно_PART,exclusively
растолковывать_VERB,interpret
феодальный_ADJ,feudal
россыпь_NOUN,scattering
требование_NOUN,requirement
соколов_NOUN,falcons
постыдный_ADJ,shameful
коробочка_NOUN,box
сосновый_ADJ,pine
большинство_NOUN,majority
религиозный_ADJ,religious
xxi_NOUN,xxi
выше_ADV,above
позорный_ADJ,shameful
полотенце_NOUN,towel
гневно_ADV,angrily
мамочка_NOUN,Mommy
приговор_NOUN,sentence
дверной_ADJ,door
пьер_NOUN,pierre
пьер_NOUN,pierre
моисей_NOUN,Moses
применимый_ADJ,applicable
фишер_NOUN,phisher
мини_ADJ,mini
торговый_ADJ,trade
запасный_ADJ,spare
квас_NOUN,kvass
бюджетный_ADJ,budgetary
пальма_NOUN,palm
румянцев_NOUN,blush
периферия_NOUN,periphery
досадный_ADJ,annoying
гамбург_NOUN,hamburg
просторный_ADJ,spacious
проникновенный_ADJ,soulful
москва_NOUN,Moscow
данилов_NOUN,Danilov
жилищный_ADJ,housing
гласный_NOUN,vowel
миномет_NOUN,mortar
аристократия_NOUN,aristocracy
мерзавец_NOUN,scoundrel
корзина_NOUN,basket
декрет_NOUN,decree
излучение_NOUN,radiation
египет_NOUN,Egypt
тревожно_ADV,anxious
монахиня_NOUN,nun
венгерский_ADJ,Hungarian
растирать_VERB,rub
иголка_NOUN,needle
взмаливаться_VERB,swell
взгляд_NOUN,sight
вступаться_VERB,intercede
переработка_NOUN,processing
блаженный_ADJ,blissful
кошмарный_ADJ,nightmarish
пробел_NOUN,space
гибельный_ADJ,disastrous
упаковывать_VERB,pack
комиссариат_NOUN,commissariat
маня_NOUN,beckoning
изымать_VERB,withdraw
семнадцать_NUM,seventeen
священный_ADJ,sacred
сокрушать_VERB,crush
аренда_NOUN,rent
покурить_VERB,smoke
геолог_NOUN,geologist
печь_NOUN,bake
овальный_ADJ,oval
аудитория_NOUN,audience
буржуй_NOUN,bourgeois
тесный_ADJ,close
привлекательный_ADJ,attractive
полина_NOUN,Pauline
выполнять_VERB,fulfill
тонна_NOUN,ton
еле-еле_ADV,barely
начало_NOUN,Start
маслов_NOUN,oils
талон_NOUN,ticket
подбор_NOUN,selection
крымский_ADJ,Crimean
промеж_ADP,between
проповедовать_VERB,preach
астраханский_ADJ,astrakhan
подвал_NOUN,basement
равно_ADV,equals
поведение_NOUN,behavior
кабина_NOUN,cabin
одежда_NOUN,clothes
запросто_ADV,easily
жалеть_VERB,regret
могильный_ADJ,grave
первоначальный_ADJ,initial
божество_NOUN,deity
совестно_ADV,ashamed
край_NOUN,edge
угрожающий_ADJ,threatening
пастись_VERB,graze
вооружение_NOUN,armament
отпор_NOUN,rebuff
подготовительный_ADJ,preparatory
крушение_NOUN,crash
пробыть_VERB,stay
красочный_ADJ,colorful
дошкольный_ADJ,preschool
отпор_NOUN,rebuff
возвышать_VERB,uplift
описание_NOUN,description
прекращать_VERB,stop
полярный_ADJ,polar
воздух_NOUN,air
дневник_NOUN,diary
продвижение_NOUN,promotion
певица_NOUN,singer
специальный_ADJ,special
трансформация_NOUN,transformation
палец_NOUN,finger
дождевой_ADJ,rain
литва_NOUN,Lithuania
развиваться_VERB,develop
свечка_NOUN,candle
перечислять_VERB,list
повелевать_VERB,command
поперек_ADP,across
румыния_NOUN,Romania
зрительный_ADJ,visual
по-человечески_ADV,humanly
ветка_NOUN,branch
сминать_VERB,crumple
виток_NOUN,turn
долговязый_ADJ,lanky
качнуть_VERB,swing
должностной_ADJ,official
еврейский_ADJ,Jewish
возле_ADP,near
гравюра_NOUN,engraving
юрист_NOUN,lawyer
хозяйничать_VERB,host
сложно_ADV,hard
город_NOUN,town
затемнять_VERB,darken
тонко_ADV,thin
столбик_NOUN,column
последовательный_ADJ,consistent
поэт_NOUN,poet
ворона_NOUN,Crow
нечистый_ADJ,unclean
налет_NOUN,plaque
велено_ADV,ordered
преувеличение_NOUN,exaggeration
продолжительность_NOUN,duration
многообразный_ADJ,varied
нужно_ADV,necessary
мыслить_VERB,think
корреспондент_NOUN,correspondent
шкаф_NOUN,cupboard
преданный_ADJ,devotee
сажать_VERB,plant
аудитория_NOUN,audience
ох_INTJ,Oh
одинокий_ADJ,lonely
промелькнуть_VERB,flash
изголовье_NOUN,headboard
крылечко_NOUN,porch
пренебрегать_VERB,neglect
напр_NOUN,ex
нажим_NOUN,pressure
ревность_NOUN,jealousy
скучно_ADV,boring
прозаический_ADJ,prosaic
незаурядный_ADJ,extraordinary
годный_ADJ,fit
трактат_NOUN,treatise
xviii_NOUN,xviii
лозунг_NOUN,slogan
конверт_NOUN,envelope
консервативный_ADJ,conservative
дорогой_ADJ,expensive
подражание_NOUN,imitation
свидетель_NOUN,witness
притаиться_VERB,lurk
всемирный_ADJ,world
намерен_ADJ,intends
где-нибудь_ADV,somewhere
партер_NOUN,parterre
вышина_NOUN,height
трогать_VERB,touch
росток_NOUN,sprout
атаман_NOUN,chieftain
оправлять_VERB,straighten
хозяйский_ADJ,master's
уголь_NOUN,coal
прекращение_NOUN,termination
обычно_ADV,usually
обвинитель_NOUN,prosecutor
превосходно_ADV,fine
арсенал_NOUN,arsenal
невыразимый_ADJ,inexpressible
качели_NOUN,swing
демократ_NOUN,democrat
исповедовать_VERB,confess
собачий_ADJ,canine
документальный_ADJ,documentary
семя_NOUN,seed
прошедший_ADJ,past
бизнесмен_NOUN,businessman
четырнадцатый_ADJ,fourteenth
физический_ADJ,physical
закоулок_NOUN,nook
нагрузка_NOUN,load
продюсер_NOUN,producer
уголок_NOUN,corner
